News title,FB comment,Sentiment
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,ยอมรับความจริงคับ.....ปฏิรูปจริง ๆ จัง ๆ เรียกความเชื่อมั่นคืน...แถ...แก้ตัว...มีแต่เสีย...หรือพวกท่านไม่สน...แค่..เงิน อำนาจ สำคัญสุด,neg
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,คนถือและใช้กฎหมายทำชั่วเสียเองสมควรตาย,neg
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,ความเห็นไปในทางเดียวกัน อาชีพเดียวกันยังเกลียด,neg
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,ก็น่าขะเจ็บอยู่หรอก ประชาชนรู้มาก่อนท่านละมั่ง,neu
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,ท่านเก็บคำว่าเจ็บปวดเปลี่ยนมาเป็นร่วมมือกับบิ้กโจ้กให้ตรวจสอบจะๆดเให้เขาเห็นความจริงสิว่าไม่ใช่,neu
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,ม่ใช้กฏหมายในมือมาทำ ม่ต้องเจ้บปวด,neu
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,คนจนติดคุกคนรวยรอดคุก,neg
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,ถ้าที่เขาพูดมันเป็นเรื่องจริงมึงควรแก้ไขปรับปรุงไม่ใช่คิดแก้แค้นแก้ต่าง,neg
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,ทำตำรวจดีๆเสียชื่อไปด้วย,neg
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,อุตสาหกรรม,neu
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,ชาวบ้านก็เจ็บปวดกับการกระทำของตำรวจบางคนมานานแล้วค่ะท่าน,neg
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,สงสัย คงไม่เข้าใจความหมายของ ตัวเลข 93 🤣🤣🤣,q
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,ทำไมท่านไม่ไล่ออกตำรวจที่ กร ตรชี้มูลว่าผิด ทำให้ ปชช เห็นครับ,q
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,ปรับแผนงานสิครับ คนจนๆแจ้งความก็ช่วยเขาบ้าง  มันไม่แปลกที่เขาจะคิด(พูดแค่พื้นฐาน)เขากล้าเปิดแสดงว่าเขามีหลักฐานรึเปล่า,neu
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,ผมก็เจ็บปวดแทนท่านนะเพราะไม่ได้เป็นทั้งหมดแค่เป็นมากกว่าครึ่งนะ,neu
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,ก็ส่วนใหญ่มันเรื่องจริง ตำรวจดีๆหายากค่ะ,neu
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,ถ้ามันเป็นเรื่องจริงประชาชนยิ่งเจ็บปวดถ้าผิดจริงควรทำตามกฎหมายนะ,neu
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,รับไม่ได้อะไรค่ะ รู้ๆๆกันอยู่,neg
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,ถ้าทำดีแล้วทำต่อไปครับถ้าทำไม่ดีว่ากันด้วยหลักฐานข้อเท็จจริงครับมีข่าวแบบนึ้ดีแล้วครับประชาชนจะได้รับรู้ด้วยเพราะเงินภาษีเขาพวกคุณเอาไปเป็นเงินเดือนครับนาย,pos
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,ตำรวจดีก็มีแต่น้อยกว่าตำรวจเลว,neg
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,มันจริง,neu
'บิ๊กต่าย' เผย รู้สึกเจ็บปวด หลัง ตร.ถูกโจมตี เป็นองค์กรอาชญากรรมขนาดใหญ่ในไทย,ความเจ็บปวดมันมากกว่าความอับอายหรือครับ ท่านถึงได้แต่บ่นว่าท่านเจ็บปวด นึกถึงท่านศรีมั๊ย..เอ๊ยท่านศรีปราชญ์ นะครับ ที่ว่า ดาบนั้น คืนสนอง.,neu
